Site ID;Sample ID;Startdate;Enddate;Start;End;Trapping Days;Latitude;Longitude;County;Barcodes;Entire sample sequenced;Time period;Horticultural region;Avg. annual temperature;Avg. annual precipitation
43;M43007;25/07/2018;01/08/2018;25/07/2018;01/08/2018;7;68.111319;23.331281;Norrbotten;185;N;Late Summer;VIII (light blue);-2;500-600
43;M43010;29/09/2018;20/07/2019;29/09/2018;20/07/2019;294;68.111319;23.331281;Norrbotten;187;N;Offseason;VIII (light blue);-2;500-600
44;M44002;15/05/2018;29/05/2018;15/05/2018;29/05/2018;14;63.344673;14.536979;Jämtland;524;N;Late Spring;VI (purple);02-abr;500-600
44;M44004;12/06/2018;25/06/2018;12/06/2018;25/06/2018;13;63.344673;14.536979;Jämtland;169;N;Midsummer;VI (purple);02-abr;500-600
44;M44007;23/07/2018;06/08/2018;23/07/2018;06/08/2018;14;63.344673;14.536979;Jämtland;184;N;Late Summer;VI (purple);02-abr;500-600
44;M44014;30/10/2018;12/11/2018;30/10/2018;12/11/2018;13;63.344673;14.536979;Jämtland;1;Y;Offseason;VI (purple);02-abr;500-600
45;M45002;20/05/2018;28/05/2018;20/05/2018;28/05/2018;8;63.796206;20.900016;Västerbotten;63;Y;Late Spring;V (green);04-jun;500-600
45;M45006;18/06/2018;24/06/2018;18/06/2018;24/06/2018;6;63.796206;20.900016;Västerbotten;64;Y;Midsummer;V (green);04-jun;500-600
45;M45013;26/07/2018;05/08/2018;26/07/2018;05/08/2018;10;63.796206;20.900016;Västerbotten;179;N;Late Summer;V (green);04-jun;500-600
45;M45018;11/10/2018;14/11/2018;11/10/2018;14/11/2018;34;63.796206;20.900016;Västerbotten;24;Y;Offseason;V (green);04-jun;500-600
46;M46001;04/07/2018;12/07/2018;04/07/2018;12/07/2018;8;56.619528;16.498101;Kalmar;932;N;Midsummer;I (red);06-ago;500-600
46;M46004;31/07/2018;30/08/2018;31/07/2018;30/08/2018;30;56.619528;16.498101;Kalmar;178;N;Late Summer;I (red);06-ago;500-600
46;M46006;15/10/2018;01/01/2019;15/10/2018;01/01/2019;78;56.619528;16.498101;Kalmar;48;Y;Offseason;I (red);06-ago;500-600
